threshold,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,specificity,flagged_rate,cost,normalized_cost
0.05,105,588,307,0,0.15151515151515152,1.0,0.2631578947368421,0.6569832402234637,0.34301675977653634,0.693,588.0,0.588
0.1,104,402,493,1,0.20553359683794467,0.9904761904761905,0.3404255319148936,0.4491620111731844,0.5508379888268157,0.506,412.0,0.412
0.15,101,287,608,4,0.2603092783505155,0.9619047619047619,0.40973630831643,0.3206703910614525,0.6793296089385474,0.388,327.0,0.327
0.2,98,223,672,7,0.3052959501557632,0.9333333333333333,0.46009389671361495,0.24916201117318434,0.7508379888268156,0.321,293.0,0.293
0.25,98,175,720,7,0.358974358974359,0.9333333333333333,0.5185185185185185,0.19553072625698323,0.8044692737430168,0.273,245.0,0.245
0.3,98,143,752,7,0.4066390041493776,0.9333333333333333,0.5664739884393063,0.15977653631284916,0.8402234636871508,0.241,213.0,0.213
0.35,96,121,774,9,0.4423963133640553,0.9142857142857143,0.5962732919254659,0.13519553072625698,0.864804469273743,0.217,211.0,0.211
0.4,90,99,796,15,0.47619047619047616,0.8571428571428571,0.6122448979591837,0.1106145251396648,0.8893854748603351,0.189,249.0,0.249
0.45,86,78,817,19,0.524390243902439,0.819047619047619,0.6394052044609665,0.08715083798882682,0.9128491620111732,0.164,268.0,0.268
0.5,84,66,829,21,0.56,0.8,0.6588235294117648,0.07374301675977654,0.9262569832402234,0.15,276.0,0.276
0.55,80,57,838,25,0.583941605839416,0.7619047619047619,0.6611570247933884,0.06368715083798883,0.9363128491620112,0.137,307.0,0.307
0.6,78,35,860,27,0.6902654867256637,0.7428571428571429,0.7155963302752294,0.03910614525139665,0.9608938547486033,0.113,305.0,0.305
0.65,72,30,865,33,0.7058823529411765,0.6857142857142857,0.6956521739130436,0.0335195530726257,0.9664804469273743,0.102,360.0,0.36
0.7,63,24,871,42,0.7241379310344828,0.6,0.65625,0.026815642458100558,0.9731843575418995,0.087,444.0,0.444
0.75,54,16,879,51,0.7714285714285715,0.5142857142857142,0.6171428571428572,0.017877094972067038,0.982122905027933,0.07,526.0,0.526
0.8,49,10,885,56,0.8305084745762712,0.4666666666666667,0.5975609756097561,0.0111731843575419,0.9888268156424581,0.059,570.0,0.57
0.85,32,3,892,73,0.9142857142857143,0.3047619047619048,0.4571428571428571,0.0033519553072625698,0.9966480446927374,0.035,733.0,0.733
0.9,23,3,892,82,0.8846153846153846,0.21904761904761905,0.35114503816793885,0.0033519553072625698,0.9966480446927374,0.026,823.0,0.823
0.95,14,0,895,91,1.0,0.13333333333333333,0.23529411764705882,0.0,1.0,0.014,910.0,0.91
